title, mapx, mapy, telephone, roadAddress
안티크코코,304812,550048,02-322-1837,서울특별시 마포구 독막로 64
살롱드에이치,321469,531834,031-714-1101,경기도 성남시 분당구 판교역로14번길 15 로데오프라자 2층
브라운핸즈백제,494916,280226,051-464-0332,부산광역시 동구 중앙대로209번길 16
더그림,355746,547548,,경기도 양평군 옥천면 사나사길 175
마망갸또 강남역점,314160,544965,02-556-3937,서울특별시 강남구 봉은사로4길 31
더베이커스테이블,310714,549073,,서울특별시 용산구 녹사평대로 244-1
섬소나이,303346,102404,064-784-2918,
스노브 홍대점,305020,550276,02-325-5770,서울특별시 마포구 와우산로 59
보사노바,483700,574817,033-653-0038,강원도 강릉시 창해로14번길 28
성심당 케익부띠끄,348732,414255,,대전광역시 중구 대종로 480
아라파파,259938,99077,064-725-8204,제주특별자치도 제주시 국기로3길 2
9BLOCK,331434,533766,031-761-1295,경기도 광주시 경충대로 1969 나인블럭
클로리스 신논현점,314042,545084,02-557-7523,서울특별시 강남구 봉은사로2길 12
에스프레소 퍼블릭,314245,544972,02-556-9317,서울특별시 강남구 강남대로102길 30
커피가게동경,303324,550983,,서울특별시 마포구 망원로6길 21
학림다방,312021,553772,02-742-2877,서울특별시 종로구 대학로 119
<b>카페</b>진정성,279328,570777,031-986-5520,경기도 김포시 하성면 하성로 660
코드케이 방탈출<b>카페</b>,314117,544940,,서울특별시 강남구 봉은사로2길 31 지하 1층 코드케이
배터리파크 명동점,310348,551386,,서울특별시 중구 퇴계로 100 스테이트타워남산 B1 106호
<b>카페</b> 울라봉,439165,249866,055-649-3824,경상남도 통영시 동문로 22 2층
비트포비아 신논현,314094,545227,02-6408-6408,서울특별시 강남구 봉은사로 115 노벨테크빌딩 B2F
르알래스카 가로수길점,313869,547254,02-546-5872,서울특별시 강남구 압구정로14길 15
홍대반지<b>카페</b>,304884,550539,02-337-6464,서울특별시 마포구 잔다리로6길 40-6
듀자미,313794,546802,02-3443-0030,서울특별시 강남구 도산대로11길 28
